year,bedrooms,property_type,location,avg_rent
2008,1 to 2 bed,Detached house,"Sandyford, Dublin 18",
2008,1 to 2 bed,Semi detached house,Dublin,1159.28
2008,1 to 2 bed,Semi detached house,"Shankill, Dublin",
2008,1 to 2 bed,Semi detached house,"Stillorgan, Dublin",
2008,1 to 2 bed,Semi detached house,Dublin 2,
2008,1 to 2 bed,Semi detached house,"Charlemont Street, Dublin 2",
2008,1 to 2 bed,Semi detached house,Dublin 6,1116.54
2008,1 to 2 bed,Semi detached house,"Milltown, Dublin 6",
2008,1 to 2 bed,Semi detached house,"Ranelagh, Dublin 6",1145.42
2008,1 to 2 bed,Semi detached house,Dublin 14,1289.48
2008,1 to 2 bed,Semi detached house,"Churchtown, Dublin 14",
2008,1 to 2 bed,Semi detached house,Dublin 16,1283.06
2008,1 to 2 bed,Semi detached house,"Dundrum, Dublin 16",
2008,1 to 2 bed,Semi detached house,Dublin 18,
2008,1 to 2 bed,Semi detached house,"Cabinteely, Dublin 18",
2008,1 to 2 bed,Semi detached house,"Carrickmines, Dublin 18",
2008,1 to 2 bed,Semi detached house,"Leopardstown, Dublin 18",
2008,1 to 2 bed,Semi detached house,"Sandyford, Dublin 18",
2008,1 to 2 bed,Terrace house,Dublin,1203.36
2008,1 to 2 bed,Terrace house,"Shankill, Dublin",
2008,1 to 2 bed,Terrace house,"Stillorgan, Dublin",
2008,1 to 2 bed,Terrace house,Dublin 2,1398.21
2008,1 to 2 bed,Terrace house,"Charlemont Street, Dublin 2",
2008,1 to 2 bed,Terrace house,Dublin 6,1297.19
2008,1 to 2 bed,Terrace house,"Milltown, Dublin 6",
2008,1 to 2 bed,Terrace house,"Ranelagh, Dublin 6",1499.0
2008,1 to 2 bed,Terrace house,Dublin 14,1347.19
2008,1 to 2 bed,Terrace house,"Churchtown, Dublin 14",
2008,1 to 2 bed,Terrace house,Dublin 16,1206.61
2008,1 to 2 bed,Terrace house,"Dundrum, Dublin 16",
2008,1 to 2 bed,Terrace house,Dublin 18,
2008,1 to 2 bed,Terrace house,"Cabinteely, Dublin 18",
2008,1 to 2 bed,Terrace house,"Carrickmines, Dublin 18",
2008,1 to 2 bed,Terrace house,"Leopardstown, Dublin 18",
2008,1 to 2 bed,Terrace house,"Sandyford, Dublin 18",
2008,1 to 2 bed,Apartment,Dublin,1230.06
2008,1 to 2 bed,Apartment,"Shankill, Dublin",1236.12
2008,1 to 2 bed,Apartment,"Stillorgan, Dublin",1401.95
2008,1 to 2 bed,Apartment,Dublin 2,1395.83
2008,1 to 2 bed,Apartment,"Charlemont Street, Dublin 2",1447.38
2008,1 to 2 bed,Apartment,Dublin 6,1202.25
2008,1 to 2 bed,Apartment,"Milltown, Dublin 6",1473.48
2008,1 to 2 bed,Apartment,"Ranelagh, Dublin 6",1169.4
2008,1 to 2 bed,Apartment,Dublin 14,1361.21
2008,1 to 2 bed,Apartment,"Churchtown, Dublin 14",1291.67
